"","car_specs","price","mileage","stringAsFactors"
"1","2024 Ford F-150 TREMOR | ECOBOOST | TOW/HAUL | ALLOY WHEELS","$64,867",NA,FALSE
"2","2024 Ford F-150 STX BLACK APPEARANCE PKG | 4WD | REAR VIEW CAMERA","$54,635",NA,FALSE
"3","2024 Jeep Wrangler Sahara 4 Door 4x4| TECH GROUP|","$56,940",NA,FALSE
"4","2024 Ford F-150 XLT - 302A SPORT  BLUE CRUISE  NAVIGATION  TRAILER","$57,258",NA,FALSE
"5","2024 Chevrolet Silverado 1500 Work Truck","$62,364",NA,FALSE
"6","2024 Jeep Wrangler Rubicon 4 Door 4x4| TECH GROUP| CONVENIENCE GROUP|","$62,535",NA,FALSE
"7","2024 Nissan Z $2,000 in Cash Discounts & Mores","$66,049",NA,FALSE
"8","2024 Chrysler Pacifica Hybrid Pinnacle 2WD","$73,607",NA,FALSE
"9","2024 Jeep Wrangler 4xe Rubicon 4 Door 4x4","$77,043",NA,FALSE
"10","2024 Ford Bronco Sport Big Bend - 4X4  NAV  REMOTE START  CO-PILOT 360","$9,888",NA,FALSE
"11","2017 Nissan Murano SL","$15,888",NA,FALSE
"12","2024 Mitsubishi Mirage ES CVT","$18,848",NA,FALSE
"13","2016 Mercedes-Benz CLA CLA 45 AMG®","$19,888",NA,FALSE
"14","2024 Mercedes-Benz GLB250 GLB250","$64,619",NA,FALSE
"15","2024 Mitsubishi Mirage ES","$20,498",NA,FALSE
"16","2024 Mitsubishi Mirage ES","$20,528",NA,FALSE
"17","2019 GMC Sierra 1500 4WD Reg Cab 140","$21,936",NA,FALSE
"18","2024 Nissan Versa S CVT","$22,348",NA,FALSE
"19","2024 Nissan Kicks","$22,348",NA,FALSE
"20","2024 Nissan Kicks","$22,598",NA,FALSE
"21","2024 Nissan Versa S","$22,658",NA,FALSE
"22","2024 Mitsubishi Mirage GT CVT","$22,898",NA,FALSE
"23","2024 Kia Forte LX | Android Auto | Cruise | Heated Seat","$22,945",NA,FALSE
"24","2024 Audi SQ8 TFSI quattro","$132,147",NA,FALSE
"25","2024 Hyundai Venue Essential IVT","$22,949",NA,FALSE
"26","2024 Kia Forte LX | ANDROID AUTO | APPLE CARPLAY | BACKUP CAM","$23,045",NA,FALSE
"27","2024 Nissan Versa","$23,104",NA,FALSE
"28","2024 Hyundai Venue ESSENTIAL","$23,199",NA,FALSE
"29","2024 Hyundai Venue Essential IVT","$23,199",NA,FALSE
"30","2024 Hyundai Venue ESSENTIAL","$23,199",NA,FALSE
"31","2024 Hyundai Venue Essential IVT","$23,199",NA,FALSE
"32","2024 Hyundai Venue ESSENTIAL APPLE CAR PLAY/ANDROID AUTO/BACK UP CAME","$23,330",NA,FALSE
"33","2024 Nissan Versa S CVT","$23,348",NA,FALSE
"34","2024 Jeep Wagoneer Series II Carbide-Convenience Group I/Heavy Duty T","$91,759",NA,FALSE
"35","2024 Nissan Versa","$23,354",NA,FALSE
"36","2024 Nissan Versa","$23,354",NA,FALSE
"37","2024 Nissan Versa S CVT Bluetooth | Rear Camera","$23,534",NA,FALSE
"38","2024 Mitsubishi Mirage GT CVT","$23,548",NA,FALSE
"39","2024 Hyundai Venue Essential IVT w-Two-Tone","$23,549",NA,FALSE
"40","2019 Mercedes-Benz CLA CLA 250 | Avantgarde Package | Sport Package | And","$23,588",NA,FALSE
"41","2024 Hyundai Venue ESSENTIAL","$23,824",NA,FALSE
"42","2024 Nissan Versa SV CVT","$24,057",NA,FALSE
"43","2024 Nissan Versa SV CVT","$24,116",NA,FALSE
"44","2024 Ram 3500 Limited","$121,555",NA,FALSE
"45","2024 Hyundai Venue Essential","$24,124",NA,FALSE
"46","2022 Hyundai Elantra Preferred","$24,124",NA,FALSE
"47","2024 Nissan Versa SV CVT","$24,148",NA,FALSE
"48","2024 Kia Forte LX IVT","$24,186",NA,FALSE
"49","2017 Audi A4 2.0 Technik | Quattro | Bang & Olufsen Speakers |","$24,188",NA,FALSE
"50","2024 Kia Forte LX","$24,280",NA,FALSE
