"","car_specs","price","mileage","stringAsFactors"
"1","2022 Mazda CX-5 Signature 1 OWNER|DILAWRI CERTIFIED|CLEAN CARFAX","$32,498","85,100 km",FALSE
"2","2018 Hyundai Elantra GLS*Carplay*Leather*Roof*No Accidents*","$12,900","160,000 km",FALSE
"3","2018 Toyota Tundra 4x4 Double Cab SR5 Plus 5.7L","$40,999","93,000 km",FALSE
"4","2019 Alfa Romeo Stelvio QUADRIFOGLIO, AWD,  LEATHER & SUEDE SEATS, POWER S","$48,999","79,124 km",FALSE
"5","2019 Mercedes-Benz GLE AMG GLE 63 S 4MATIC Coupe","$72,888","83,027 km",FALSE
"6","2020 Honda CR-V VdpUrlEn","$26,999","51,144 km",FALSE
"7","2022 Jeep Grand Cherokee L Limited 4x4","$46,559","30,211 km",FALSE
"8","2022 Ram 2500 RAM 2500 BIG HORN CREW CAB 4X4","$56,995","160,421 km",FALSE
"9","2024 Kia Sorento X-Line AWD | Demonstrator","$48,995","6,633 km",FALSE
"10","2016 Chevrolet Cruze 4dr+Sdn+Auto+LT","$15,995","25,134 km",FALSE
"11","2016 Ford Mustang Shelby GT350","$79,995","13,124 km",FALSE
"12","2016 Chevrolet Silverado 1500 4WD Double Cab 143.5"" Work Truck","$29,995","183,800 km",FALSE
"13","2016 Dodge Grand Caravan 4dr Wgn SXT Premium Plus","$11,000","165,000 km",FALSE
"14","2023 Honda Accord Apple Carplay | Heated Seats | Rearview Camera","$32,245","33,414 km",FALSE
"15","2016 Dodge Charger V8 Hemi-AWD**One Owner**More Options Available**","$12,900","236,000 km",FALSE
"16","2016 Kia Forte 4dr Sdn EX","$8,995","215,167 km",FALSE
"17","2016 Nissan Rogue SV AWD 4dr","$12,995","179,084 km",FALSE
"18","2016 Honda Civic Coupe 2dr CVT LX Back-up","$18,900","100,800 km",FALSE
"19","2016 Scion iM 4dr HB CVT Alloy Backup Bluetooth Cloth 4 Cylinder","$13,900","132,438 km",FALSE
"20","2016 Dodge Journey SXT - ALLOY RIMS, TOUCH SCREEN, REMOTE STARTER + M","$13,990","97,553 km",FALSE
"21","2016 Jeep Cherokee 4WD 4dr North, Power Group, Alloy Wheels","$10,980","204,000 km",FALSE
"22","2016 Acura MDX TECH AWD DVD NAVI backup camera leather sunroof","$29,900","53,000 km",FALSE
"23","2016 Ford Fusion 4dr Sdn SE FWD","$9,995","197,800 km",FALSE
"24","2023 Hyundai Santa Fe Ultimate Calligraphy","$42,995","29,094 km",FALSE
"25","2016 Tesla Model X MODEL X 90D, 6 SEATER, AWD","$39,880","101,544 km",FALSE
"26","2016 Ford Escape FWD 4dr SE","$12,800","188,000 km",FALSE
"27","2016 BMW X6 AWD, SUNROOF, ALLOYS, NAVI, LEATHER INT","$27,880","120,573 km",FALSE
"28","2016 Volkswagen Passat  Execline, SUNROOF, BACKUP CAM, HEATED SEATS","$16,880","139,250 km",FALSE
"29","2016 BMW 4 Series 4dr Sdn 428i xDrive AWD Gran Coupe","$20,990","92,185 km",FALSE
"30","2016 Dodge Grand Caravan 4dr Wgn SXT","$8,490","241,000 km",FALSE
"31","2016 Dodge Journey FWD 4dr Canada Value Pkg","$9,490","185,000 km",FALSE
"32","2016 Mazda CX-9 CERTIFIED, REMOTE STRATER, 2 SET TIRES","$17,900","105,200 km",FALSE
"33","2016 Nissan Murano AWD Navigation/Camera/Roof/ 1-Owner!","$13,995","142,381 km",FALSE
"34","2023 BMW M2","$75,998","9,888 km",FALSE
"35","2016 Kia Sorento 2.0L Turbo LX+","$11,999","107,000 km",FALSE
"36","2016 Lincoln MKX AWD 4dr Reserve, Leather, Sunroof, Navigation","$14,980","242,000 km",FALSE
"37","2016 Nissan Murano SL","$19,995","97,462 km",FALSE
"38","2016 BMW 7 Series 750i XDrive AWD | CLEAN CARFAX | M SPORT","$23,895","175,000 km",FALSE
"39","2016 Honda Civic Sedan 4dr Man LX","$6,995","327,000 km",FALSE
"40","2016 Land Rover Range Rover Sport BLACK PKG|500+HP V8 SUPERCHARGED|DYNAMIC PKG|FULLY","$39,895","80,000 km",FALSE
"41","2016 Volkswagen Beetle Coupe 2dr Cpe Auto Trendline","$12,995","122,000 km",FALSE
"42","2016 MINI Cooper Clubman CLUBMAN S | AUTO | PANO ROOF | ALL4 DRIVE","$14,995","142,289 km",FALSE
"43","2016 Dodge Grand Caravan 4dr Wgn","$8,995","203,184 km",FALSE
"44","2023 Chrysler Pacifica Touring L","$39,995","52,590 km",FALSE
"45","2016 Nissan LEAF S","$9,999","163,150 km",FALSE
"46","2016 Chrysler Town & Country Touring leather","$17,995","154,710 km",FALSE
"47","2016 BMW X3 28i- PAN ROOF,HUD- ONE OWNER, MINT","$21,490","108,000 km",FALSE
"48","2016 Chevrolet Traverse AWD 4dr LS","$10,995","208,277 km",FALSE
"49","2016 Volkswagen Golf CERTIFIED. WARRANTY","$13,995","133,800 km",FALSE
"50","2016 Chevrolet Cruze 4dr Sdn LT w/1LT","$8,995","196,489 km",FALSE
"51","2016 MINI COOPER S HB 5dr | ACCIDENT FREE |NAVI|PANO SUNROOF|","$16,480","136,303 km",FALSE
"52","2016 Audi Q3 Technik","$16,999","89,700 km",FALSE
"53","2016 Lexus GS 350","$31,999","77,500 km",FALSE
"54","2023 MINI SE HARDTOP SE- Full Electric/IZEV credit/Lease&Finance Avail","$31,900","3,628 km",FALSE
"55","2016 Dodge Grand Caravan 4dr Wgn SXT","$13,995","120,000 km",FALSE
